,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(7, 1), (7, 1), (4, 1), (4, 1), (4, 1), (4, 1), (2, 2)]","[7, 47, 16, 4, 4, 4]",5760,8.71,0.956
J_det,0,"[7, 7, 4, 4]","[7, 16, 4]",1105,0.71,1.766
R,0,"[7, 7, 4, 4, 4, 4]","[7, 49, 59, 16, 4]",18062,0.69,2.148
dR,0,"[7, 7, 4, 4, 4, 4, 2]","[7, 49, 113, 30, 8, 2]",39186,0.64,2.148
J_detRT,0,"[(7, 1), (7, 1), (4, 1), (4, 1), (1, 4), (1, 4)]","[7, 49, 64, 16, 4]",19362,0.65,2.284
JdR,0,"[7, 7, 4, 4, 4, 4, 2]","[7, 49, 120, 30, 8, 2]",41398,0.61,2.36
Intg_int,0,"[(10, 10), (10, 10)]",[18],3600,2.78,3.943
Intg_str,0,"[(10, 10), (10, 10), (2, 1)]","[46, 2]",13804,1.45,3.944
H,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (10, 10), (10, 10)]","[3, 3, 3, 3, 3, 110]",44318,231.06,3.945
S,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 18]",4130,2538924.94,3.946
F,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 18]",4130,2538924.94,3.946
Jx_det_in,0,"[2, 7, 4]","[1, 1]",13,4.31,4.224
Jy_det_in,0,"[2, 7, 4]","[1, 1]",13,4.31,4.224
Rx_in,0,"[2, 7, 4, 4, 4]","[1, 1, 1, 1]",21,42.67,4.224
Ry_in,0,"[2, 7, 4, 4, 4]","[1, 1, 1, 1]",21,42.67,4.224
Ox_in,0,"[4, 16, 16, 2, 7, 4]","[1, 1, 1, 1, 1]",49,1170.29,4.224
Oy_in,0,"[4, 16, 16, 2, 7, 4]","[1, 1, 1, 1, 1]",49,1170.29,4.224
ORx_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,4.233
ORy_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,4.233
ORJx_det_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,4.241
ORJy_det_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,4.241
Intg_bound_in,0,"[(1, 1), (4, 4), (16, 1), (16, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1]",249,164497.99,7.049
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (1, 1), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",250,163840.0,7.052
B_in,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",730,14364054.79,7.053
Jx_det_out,0,"[2, 7, 4]","[1, 4]",46,1.22,7.095
Jy_det_out,0,"[2, 7, 4]","[1, 4]",46,1.22,7.095
Rx_out,0,"[2, 7, 4, 4, 4]","[2, 14, 8, 2]",720,1.24,7.132
Ry_out,0,"[2, 7, 4, 4, 4]","[2, 14, 8, 4]",792,1.13,7.132
Ox_out,0,"[4, 16, 16, 2, 7, 4]","[4, 64, 56, 28, 4]",65392,0.88,7.342
Oy_out,0,"[4, 16, 16, 2, 7, 4]","[4, 64, 56, 28, 4]",65392,0.88,7.343
ORx_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[4, 56, 56, 56, 32, 8, 3]",73724,12.45,7.529
ORy_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[4, 64, 56, 56, 32, 8, 4]",81440,11.27,7.529
ORJx_det_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[4, 56, 56, 56, 32, 8, 3]",73724,12.45,7.714
ORJy_det_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[4, 64, 56, 56, 32, 8, 4]",81440,11.27,7.714
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (10, 10), (10, 10)]","[4, 34, 58, 34]",234344,43.7,10.246
H_bound_out,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (10, 10), (10, 10)]","[4, 34, 58, 58, 58, 34]",241072,42.48,10.262
B_out,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (10, 10), (10, 10)]","[4, 34, 58, 58, 58, 34]",241072,42.48,10.262
H,-1,"[(4, 4), (16, 16), (16, 16), (10, 10), (10, 10)]","[3, 3, 3, 49]",24256,432295.51,10.295
S,-1,"[(4, 4), (16, 16), (16, 16), (10, 10), (10, 10)]","[1, 1, 1, 17]",3928,2669490.84,10.295
F,-1,"[(4, 4), (16, 16), (16, 16), (10, 10), (10, 10)]","[1, 1, 1, 17]",3928,2669490.84,10.295
B_in,-1,"[(4, 4), (16, 16), (16, 16), (10, 10), (10, 10)]","[1, 1, 1, 1]",728,14403516.48,10.295
B_out,-1,"[(4, 4), (16, 16), (16, 16), (10, 10), (10, 10)]","[4, 34, 58, 34]",740312,14163.97,10.295
