,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(5, 1), (5, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[2, 7, 3, 3, 3, 3]",236,34.32,0.253
J_det,0,"[5, 5, 3, 3]","[1, 2, 1]",24,9.38,0.493
R,0,"[5, 5, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",726,2.79,0.594
dR,0,"[5, 5, 3, 3, 3, 3, 2]","[3, 8, 12, 12, 5, 2]",1069,3.79,0.594
J_detRT,0,"[(5, 1), (5, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 12, 9, 9, 3]",852,2.38,0.633
JdR,0,"[5, 5, 3, 3, 3, 3, 2]","[4, 20, 18, 14, 6, 2]",2548,1.59,0.646
Intg_int,0,"[(7, 7), (7, 7)]",[1],98,24.5,0.957
Intg_str,0,"[(7, 7), (7, 7), (2, 1)]","[3, 2]",445,10.79,0.957
H,0,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[3, 3, 3, 3, 3, 7]",1699,30389.11,0.958
S,0,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[3, 3, 2, 1, 1, 1]",1216,76087942.74,0.959
F,0,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[1, 1, 1, 1, 1, 1]",303,305356232.24,0.96
Jx_det_in,0,"[2, 5, 3]","[1, 1]",10,3.0,1.099
Jy_det_in,0,"[2, 5, 3]","[1, 1]",10,3.0,1.099
Rx_in,0,"[2, 5, 3, 3, 3]","[1, 3, 3, 1]",56,4.82,1.099
Ry_in,0,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,1.099
Ox_in,0,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,1.099
Oy_in,0,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,1.099
ORx_in,0,"[4, 8, 8, 2, 5, 3, 3, 3]","[3, 8, 1, 1, 3, 3, 1]",324,213.33,1.112
ORy_in,0,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,1.112
ORJx_det_in,0,"[4, 8, 8, 2, 5, 3, 3, 3]","[3, 8, 1, 1, 3, 3, 1]",324,213.33,1.126
ORJy_det_in,0,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,1.126
Intg_bound_in,0,"[(12, 12), (4, 4), (8, 1), (8, 1), (7, 7), (7, 7)]","[3, 7, 10, 3, 2]",1960,180633.6,1.352
H_bound_in,0,"[(4, 4), (8, 1), (8, 1), (7, 7), (12, 12), (7, 7), (7, 7)]","[5, 9, 3, 3, 3, 2]",2785,6229102.67,1.359
B_in,0,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 12), (7, 7), (7, 7)]","[5, 9, 3, 3, 3, 2]",6817,162868602.09,1.36
Jx_det_out,0,"[2, 5, 3]","[1, 1]",10,3.0,1.373
Jy_det_out,0,"[2, 5, 3]","[1, 1]",10,3.0,1.373
Rx_out,0,"[2, 5, 3, 3, 3]","[2, 6, 6, 2]",214,1.26,1.394
Ry_out,0,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,1.394
Ox_out,0,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,1.487
Oy_out,0,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,1.487
ORx_out,0,"[4, 8, 8, 2, 5, 3, 3, 3]","[3, 8, 1, 2, 6, 6, 2]",482,143.4,1.501
ORy_out,0,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,1.501
ORJx_det_out,0,"[4, 8, 8, 2, 5, 3, 3, 3]","[3, 8, 1, 2, 6, 6, 2]",482,143.4,1.515
ORJy_det_out,0,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,1.515
Intg_bound_out,0,"[(4, 1), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 9, 3, 2]",912,673.96,1.727
H_bound_out,0,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 9, 3, 3, 3, 2]",1083,47674.15,1.73
B_out,0,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 9, 3, 3, 3, 2]",1083,47674.15,1.73
J,1,"[(5, 1), (5, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[5, 25, 12, 4, 4, 4]",1806,4.49,1.976
J_det,1,"[5, 5, 3, 3]","[5, 9, 3]",340,0.66,2.212
R,1,"[5, 5, 3, 3, 3, 3]","[5, 25, 25, 9, 3]",3290,0.62,2.295
dR,1,"[5, 5, 3, 3, 3, 3, 2]","[5, 25, 48, 16, 6, 2]",6882,0.59,2.295
J_detRT,1,"[(5, 1), (5, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[5, 25, 27, 9, 3]",3494,0.58,2.305
JdR,1,"[5, 5, 3, 3, 3, 3, 2]","[5, 25, 48, 16, 6, 2]",6882,0.59,2.328
Intg_int,1,"[(7, 7), (7, 7)]",[19],1862,1.29,2.746
Intg_str,1,"[(7, 7), (7, 7), (2, 1)]","[29, 2]",4267,1.13,2.746
H,1,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[3, 3, 3, 3, 3, 77]",15419,3348.54,2.747
S,1,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[3, 3, 2, 1, 1, 19]",2980,31047965.9,2.748
F,1,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[1, 1, 1, 1, 1, 19]",2067,44761944.06,2.749
Jx_det_in,1,"[2, 5, 3]","[2, 3]",43,0.7,2.884
Jy_det_in,1,"[2, 5, 3]","[1, 1]",10,3.0,2.884
Rx_in,1,"[2, 5, 3, 3, 3]","[2, 8, 6, 2]",270,1.0,2.884
Ry_in,1,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,2.884
Ox_in,1,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,2.884
Oy_in,1,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,2.884
ORx_in,1,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 31, 16, 30, 18, 6, 2]",9002,7.68,2.907
ORy_in,1,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,2.907
ORJx_det_in,1,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 31, 16, 30, 18, 6, 2]",9002,7.68,2.931
ORJy_det_in,1,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,2.931
Intg_bound_in,1,"[(12, 12), (4, 4), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 10, 19, 18, 3]",8265,42836.28,3.247
H_bound_in,1,"[(4, 4), (8, 1), (8, 1), (7, 7), (12, 12), (7, 7), (7, 7)]","[5, 14, 18, 18, 18, 3]",67981,255189.7,3.265
B_in,1,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 12), (7, 7), (7, 7)]","[5, 14, 18, 18, 18, 3]",86013,12908226.2,3.266
Jx_det_out,1,"[2, 5, 3]","[2, 3]",43,0.7,3.279
Jy_det_out,1,"[2, 5, 3]","[1, 1]",10,3.0,3.279
Rx_out,1,"[2, 5, 3, 3, 3]","[2, 8, 6, 2]",270,1.0,3.3
Ry_out,1,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,3.3
Ox_out,1,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,3.396
Oy_out,1,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,3.396
ORx_out,1,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 31, 16, 30, 18, 6, 2]",9002,7.68,3.42
ORy_out,1,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,3.42
ORJx_det_out,1,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 31, 16, 30, 18, 6, 2]",9002,7.68,3.444
ORJy_det_out,1,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,3.444
Intg_bound_out,1,"[(4, 1), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 13, 18, 3]",5097,120.59,3.741
H_bound_out,1,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 13, 18, 18, 18, 3]",11253,4588.21,3.747
B_out,1,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 13, 18, 18, 18, 3]",11253,4588.21,3.747
J,2,"[(5, 1), (5, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[5, 24, 12, 4, 4, 4]",1745,4.64,3.995
J_det,2,"[5, 5, 3, 3]","[5, 6, 3]",238,0.95,4.233
R,2,"[5, 5, 3, 3, 3, 3]","[5, 15, 15, 9, 3]",1570,1.29,4.314
dR,2,"[5, 5, 3, 3, 3, 3, 2]","[5, 15, 25, 12, 5, 2]",2639,1.53,4.314
J_detRT,2,"[(5, 1), (5, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[5, 20, 27, 9, 3]",2964,0.68,4.322
JdR,2,"[5, 5, 3, 3, 3, 3, 2]","[5, 25, 48, 16, 6, 2]",6882,0.59,4.342
Intg_int,2,"[(7, 7), (7, 7)]",[2],196,12.25,4.698
Intg_str,2,"[(7, 7), (7, 7), (2, 1)]","[4, 2]",592,8.11,4.698
H,2,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[3, 3, 3, 3, 3, 10]",2287,22575.91,4.699
S,2,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[3, 3, 2, 1, 1, 2]",1314,70413195.11,4.7
F,2,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[1, 1, 1, 1, 1, 1]",303,305356232.24,4.7
Jx_det_in,2,"[2, 5, 3]","[2, 3]",43,0.7,4.837
Jy_det_in,2,"[2, 5, 3]","[1, 1]",10,3.0,4.837
Rx_in,2,"[2, 5, 3, 3, 3]","[2, 10, 6, 2]",326,0.83,4.837
Ry_in,2,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,4.837
Ox_in,2,"[4, 8, 8, 2, 5, 3]","[2, 2, 2, 1, 1]",84,91.43,4.837
Oy_in,2,"[4, 8, 8, 2, 5, 3]","[2, 2, 2, 1, 1]",84,91.43,4.837
ORx_in,2,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 32, 30, 30, 18, 6, 2]",13586,5.09,4.865
ORy_in,2,"[4, 8, 8, 2, 5, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",311,222.25,4.865
ORJx_det_in,2,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 32, 30, 30, 18, 6, 2]",13586,5.09,4.894
ORJy_det_in,2,"[4, 8, 8, 2, 5, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",311,222.25,4.894
Intg_bound_in,2,"[(12, 12), (4, 4), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 8, 22, 32, 3]",12979,27278.05,5.373
H_bound_in,2,"[(4, 4), (8, 1), (8, 1), (7, 7), (12, 12), (7, 7), (7, 7)]","[5, 13, 32, 32, 32, 3]",206411,84046.16,5.4
B_in,2,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 12), (7, 7), (7, 7)]","[5, 13, 32, 32, 32, 3]",233347,4758043.86,5.4
Jx_det_out,2,"[2, 5, 3]","[2, 3]",43,0.7,5.414
Jy_det_out,2,"[2, 5, 3]","[1, 1]",10,3.0,5.414
Rx_out,2,"[2, 5, 3, 3, 3]","[2, 10, 6, 2]",326,0.83,5.435
Ry_out,2,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,5.435
Ox_out,2,"[4, 8, 8, 2, 5, 3]","[2, 2, 2, 1, 1]",84,91.43,5.532
Oy_out,2,"[4, 8, 8, 2, 5, 3]","[2, 2, 2, 1, 1]",84,91.43,5.532
ORx_out,2,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 32, 30, 30, 18, 6, 2]",13586,5.09,5.56
ORy_out,2,"[4, 8, 8, 2, 5, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",311,222.25,5.56
ORJx_det_out,2,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 32, 30, 30, 18, 6, 2]",13586,5.09,5.589
ORJy_det_out,2,"[4, 8, 8, 2, 5, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",311,222.25,5.589
Intg_bound_out,2,"[(4, 1), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 12, 32, 3]",8323,73.85,6.051
H_bound_out,2,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 12, 32, 32, 32, 3]",27779,1858.64,6.06
B_out,2,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 12, 32, 32, 32, 3]",27779,1858.64,6.06
J,3,"[(5, 1), (5, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[5, 24, 12, 4, 4, 4]",1745,4.64,6.305
J_det,3,"[5, 5, 3, 3]","[5, 9, 3]",340,0.66,6.545
R,3,"[5, 5, 3, 3, 3, 3]","[5, 25, 25, 9, 3]",3290,0.62,6.628
dR,3,"[5, 5, 3, 3, 3, 3, 2]","[5, 25, 48, 16, 6, 2]",6882,0.59,6.628
J_detRT,3,"[(5, 1), (5, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[5, 25, 27, 9, 3]",3494,0.58,6.638
JdR,3,"[5, 5, 3, 3, 3, 3, 2]","[5, 25, 48, 16, 6, 2]",6882,0.59,6.66
Intg_int,3,"[(7, 7), (7, 7)]",[17],1666,1.44,7.077
Intg_str,3,"[(7, 7), (7, 7), (2, 1)]","[29, 2]",4267,1.13,7.077
H,3,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[3, 3, 3, 3, 3, 75]",15027,3435.89,7.078
S,3,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[3, 3, 2, 1, 1, 17]",2784,33233814.07,7.079
F,3,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[1, 1, 1, 1, 1, 1]",303,305356232.24,7.08
Jx_det_in,3,"[2, 5, 3]","[2, 3]",43,0.7,7.213
Jy_det_in,3,"[2, 5, 3]","[1, 1]",10,3.0,7.213
Rx_in,3,"[2, 5, 3, 3, 3]","[2, 8, 6, 2]",270,1.0,7.213
Ry_in,3,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,7.214
Ox_in,3,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,7.214
Oy_in,3,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,7.214
ORx_in,3,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 25, 16, 30, 18, 6, 2]",8042,8.59,7.236
ORy_in,3,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,7.236
