,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[2, 6, 3, 3, 3, 3]",189,15.43,0.096
J_det,0,"[3, 3, 3, 3]","[1, 2, 1]",18,4.5,0.184
R,0,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,0.22
dR,0,"[3, 3, 3, 3, 3, 3, 2]","[3, 8, 12, 12, 5, 2]",1015,1.44,0.22
J_detRT,0,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 9, 9, 3]",666,1.09,0.255
JdR,0,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 14, 6, 2]",1417,1.03,0.267
Intg_int,0,"[(5, 5), (5, 5)]",[1],50,12.5,0.442
Intg_str,0,"[(5, 5), (5, 5), (2, 1)]","[3, 2]",229,5.46,0.442
H,0,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 7]",955,3518.32,0.442
S,0,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 1]",448,3360000.0,0.443
F,0,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,0.444
Jx_det_in,0,"[2, 3, 3]","[1, 1]",8,2.25,0.527
Jy_det_in,0,"[2, 3, 3]","[1, 1]",8,2.25,0.527
Rx_in,0,"[2, 3, 3, 3, 3]","[1, 3, 3, 1]",50,3.24,0.527
Ry_in,0,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,0.527
Ox_in,0,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,0.527
Oy_in,0,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,0.527
