,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(3, 1), (9, 1), (4, 1), (4, 1), (4, 1), (4, 1), (2, 2)]","[3, 21, 12, 4, 4, 4]",1920,14.4,0.443
J_det,0,"[3, 9, 4, 4]","[3, 13, 4]",584,0.74,0.888
R,0,"[3, 9, 4, 4, 4, 4]","[3, 24, 55, 16, 4]",9729,0.71,1.033
dR,0,"[3, 9, 4, 4, 4, 4, 2]","[3, 26, 84, 30, 8, 2]",20555,0.67,1.033
J_detRT,0,"[(3, 1), (9, 1), (4, 1), (4, 1), (1, 4), (1, 4)]","[3, 27, 58, 16, 4]",10986,0.63,1.081
JdR,0,"[3, 9, 4, 4, 4, 4, 2]","[3, 27, 60, 30, 8, 2]",15446,0.89,1.106
Intg_int,0,"[(6, 6), (12, 12)]",[14],2520,2.06,1.706
Intg_str,0,"[(6, 6), (12, 12), (2, 1)]","[30, 2]",9724,1.07,1.706
H,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (6, 6), (12, 12)]","[3, 3, 3, 3, 3, 74]",18966,279.89,1.707
S,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (6, 6), (12, 12)]","[1, 1, 1, 1, 1, 14]",3050,1782235.4,1.708
F,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (6, 6), (12, 12)]","[1, 1, 1, 1, 1, 14]",3050,1782235.4,1.709
Jx_det_in,0,"[2, 3, 4]","[1, 1]",9,2.67,1.877
Jy_det_in,0,"[2, 9, 4]","[1, 1]",15,4.8,1.877
Rx_in,0,"[2, 3, 4, 4, 4]","[1, 1, 1, 1]",17,22.59,1.877
Ry_in,0,"[2, 9, 4, 4, 4]","[2, 11, 8, 4]",698,1.65,1.877
Ox_in,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,1.877
Oy_in,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,1.877
ORx_in,0,"[4, 16, 16, 2, 3, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",53,7419.17,1.887
ORy_in,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 13, 8, 4]",938,1257.62,1.887
ORJx_det_in,0,"[4, 16, 16, 2, 3, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",53,7419.17,1.899
ORJy_det_in,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 13, 8, 4]",938,1257.62,1.899
Intg_bound_in,0,"[(1, 1), (4, 4), (16, 1), (16, 1), (6, 6), (12, 12)]","[1, 2, 2, 2, 2]",593,35807.19,3.403
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (1, 1), (1, 1), (6, 6), (12, 12)]","[2, 2, 2, 2, 2, 2]",600,35389.44,3.405
B_in,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (6, 6), (12, 12)]","[2, 2, 2, 2, 2, 2]",2520,2157070.63,3.405
Jx_det_out,0,"[2, 3, 4]","[1, 3]",23,1.04,3.42
Jy_det_out,0,"[2, 9, 4]","[1, 1]",15,4.8,3.42
Rx_out,0,"[2, 3, 4, 4, 4]","[2, 6, 8, 2]",304,1.26,3.444
Ry_out,0,"[2, 9, 4, 4, 4]","[2, 11, 8, 4]",698,1.65,3.444
Ox_out,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,3.597
Oy_out,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,3.597
ORx_out,0,"[4, 16, 16, 2, 3, 4, 4, 4]","[3, 44, 12, 24, 24, 8, 2]",13716,28.67,3.621
ORy_out,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 13, 8, 4]",938,1257.62,3.621
ORJx_det_out,0,"[4, 16, 16, 2, 3, 4, 4, 4]","[3, 44, 12, 24, 24, 8, 2]",13716,28.67,3.642
ORJy_det_out,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 13, 8, 4]",938,1257.62,3.642
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (6, 6), (12, 12)]","[4, 20, 14, 3]",7720,687.62,3.965
H_bound_out,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (6, 6), (12, 12)]","[4, 20, 14, 14, 14, 3]",8112,654.39,3.968
B_out,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (6, 6), (12, 12)]","[4, 20, 14, 14, 14, 3]",8112,654.39,3.968
H,-1,"[(4, 4), (16, 16), (16, 16), (6, 6), (12, 12)]","[3, 3, 3, 33]",12972,419042.4,3.989
S,-1,"[(4, 4), (16, 16), (16, 16), (6, 6), (12, 12)]","[1, 1, 1, 14]",3048,1783404.85,3.989
F,-1,"[(4, 4), (16, 16), (16, 16), (6, 6), (12, 12)]","[1, 1, 1, 14]",3048,1783404.85,3.989
B_in,-1,"[(4, 4), (16, 16), (16, 16), (6, 6), (12, 12)]","[2, 2, 2, 2]",2512,2163940.28,3.989
B_out,-1,"[(4, 4), (16, 16), (16, 16), (6, 6), (12, 12)]","[4, 20, 14, 3]",94168,57724.68,3.989
