,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(7, 1), (7, 1), (4, 1), (4, 1), (4, 1), (4, 1), (2, 2)]","[1, 1, 1, 1, 1, 1]",34,1475.76,2.912
J_det,0,"[7, 7, 4, 4]","[1, 1, 1]",22,35.64,5.758
R,0,"[7, 7, 4, 4, 4, 4]","[5, 25, 20, 16, 4]",4462,2.81,11.996
dR,0,"[7, 7, 4, 4, 4, 4, 2]","[5, 25, 35, 24, 7, 2]",8502,2.95,11.996
J_detRT,0,"[(7, 1), (7, 1), (4, 1), (4, 1), (1, 4), (1, 4)]","[5, 25, 20, 16, 4]",4462,2.81,12.608
JdR,0,"[7, 7, 4, 4, 4, 4, 2]","[5, 25, 35, 24, 7, 2]",8502,2.95,13.268
Intg_int,0,"[(10, 10), (10, 10)]",[1],200,50.0,15.652
Intg_str,0,"[(10, 10), (10, 10), (2, 1)]","[2, 2]",604,33.11,15.652
H,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (10, 10), (10, 10)]","[3, 3, 3, 3, 3, 5]",2327,8801.03,15.657
S,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",733,57221064.12,15.669
Jx_det_in,0,"[2, 7, 4]","[1, 1]",13,4.31,18.88
Jy_det_in,0,"[2, 7, 4]","[1, 1]",13,4.31,18.88
Rx_in,0,"[2, 7, 4, 4, 4]","[1, 1, 1, 1]",21,42.67,18.88
Ry_in,0,"[2, 7, 4, 4, 4]","[1, 1, 1, 1]",21,42.67,18.88
Ox_in,0,"[4, 16, 16, 2, 7, 4]","[1, 1, 1, 1, 1]",49,1170.29,18.88
Oy_in,0,"[4, 16, 16, 2, 7, 4]","[1, 1, 1, 1, 1]",49,1170.29,18.88
ORx_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,18.901
ORy_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,18.901
ORJx_det_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,18.942
ORJy_det_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,18.942
Intg_bound_in,0,"[(1, 1), (4, 4), (16, 1), (16, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1]",249,164497.99,33.528
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (2, 2), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",253,647588.93,33.53
B_in,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",733,57221064.12,33.531
Jx_det_out,0,"[2, 7, 4]","[1, 1]",13,4.31,33.601
Jy_det_out,0,"[2, 7, 4]","[1, 1]",13,4.31,33.601
Rx_out,0,"[2, 7, 4, 4, 4]","[2, 10, 8, 2]",536,1.67,34.298
Ry_out,0,"[2, 7, 4, 4, 4]","[2, 10, 8, 4]",608,1.47,34.299
Ox_out,0,"[4, 16, 16, 2, 7, 4]","[2, 2, 2, 1, 1]",151,379.76,36.245
Oy_out,0,"[4, 16, 16, 2, 7, 4]","[2, 2, 2, 1, 1]",151,379.76,36.245
ORx_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 2]",676,1357.25,36.909
ORy_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",748,1226.61,36.909
ORJx_det_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 2]",676,1357.25,37.782
ORJy_det_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",748,1226.61,37.782
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (10, 10), (10, 10)]","[3, 4, 4, 3]",1960,5224.49,41.251
H_bound_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (10, 10), (10, 10)]","[3, 4, 4, 4, 4, 3]",2008,10199.2,41.422
B_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (10, 10), (10, 10)]","[3, 4, 4, 4, 4, 3]",2008,10199.2,41.422
H,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[3, 3, 3, 3, 2]",5492,7637115.8,42.554
S,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[1, 1, 1, 1, 1]",732,57299234.97,42.554
F,-1,"[(4, 1), (16, 1), (16, 1), (2, 1), (10, 10), (10, 1)]","[1, 1, 1, 1, 1]",148,13837.84,42.554
B_in,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[1, 1, 1, 1, 1]",732,57299234.97,42.554
B_out,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[3, 4, 4, 4, 3]",8780,4777111.62,42.554
