,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(6, 1), (6, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[6, 30, 12, 4, 4, 4]",2452,4.76,0.322
J_det,0,"[6, 6, 3, 3]","[6, 9, 3]",450,0.72,0.619
R,0,"[6, 6, 3, 3, 3, 3]","[6, 30, 25, 9, 3]",4131,0.71,0.737
dR,0,"[6, 6, 3, 3, 3, 3, 2]","[6, 32, 48, 16, 6, 2]",8428,0.69,0.737
J_detRT,0,"[(6, 1), (6, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[6, 36, 27, 9, 3]",5067,0.58,0.808
JdR,0,"[6, 6, 3, 3, 3, 3, 2]","[6, 36, 48, 16, 6, 2]",9148,0.64,0.824
Intg_int,0,"[(8, 8), (8, 8)]",[17],2176,1.88,1.43
Intg_str,0,"[(8, 8), (8, 8), (2, 1)]","[34, 2]",6532,1.25,1.43
H,0,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[3, 3, 3, 3, 3, 85]",22159,5299.9,1.43
S,0,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 1), (8, 8), (8, 8)]","[1, 1, 1, 1, 1, 17]",2757,305336811.76,1.431
F,0,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 1), (8, 8), (8, 8)]","[1, 1, 1, 1, 1, 16]",2629,320202963.11,1.432
Jx_det_in,0,"[2, 6, 3]","[1, 3]",29,1.24,1.557
Jy_det_in,0,"[2, 6, 3]","[2, 3]",49,0.73,1.557
Rx_in,0,"[2, 6, 3, 3, 3]","[1, 6, 3, 1]",104,3.12,1.557
Ry_in,0,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,1.557
Ox_in,0,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,1.557
Oy_in,0,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,1.557
ORx_in,0,"[4, 16, 16, 2, 6, 3, 3, 3]","[3, 28, 18, 18, 9, 3, 1]",11133,29.8,1.58
ORy_in,0,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 2, 9, 6, 3]",1989,166.81,1.58
ORJx_det_in,0,"[4, 16, 16, 2, 6, 3, 3, 3]","[3, 28, 18, 18, 9, 3, 1]",11133,29.8,1.603
ORJy_det_in,0,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 4, 18, 6, 3]",2483,133.62,1.603
Intg_bound_in,0,"[(4, 4), (4, 4), (16, 1), (16, 1), (8, 8), (8, 8)]","[3, 7, 20, 20, 3]",13056,20560.31,1.939
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (7, 7), (4, 4), (8, 8), (8, 8)]","[5, 20, 20, 20, 20, 3]",38112,345123.25,1.964
B_in,0,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[5, 20, 20, 20, 20, 3]",158112,21296640.1,1.965
Jx_det_out,0,"[2, 6, 3]","[1, 3]",29,1.24,1.98
Jy_det_out,0,"[2, 6, 3]","[2, 3]",49,0.73,1.98
Rx_out,0,"[2, 6, 3, 3, 3]","[2, 9, 6, 2]",316,1.03,2.002
Ry_out,0,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,2.002
Ox_out,0,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,2.117
Oy_out,0,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,2.117
ORx_out,0,"[4, 16, 16, 2, 6, 3, 3, 3]","[3, 28, 18, 36, 18, 6, 2]",14970,22.16,2.145
ORy_out,0,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 2, 9, 6, 3]",1989,166.81,2.145
ORJx_det_out,0,"[4, 16, 16, 2, 6, 3, 3, 3]","[3, 28, 18, 36, 18, 6, 2]",14970,22.16,2.175
ORJy_det_out,0,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 4, 18, 6, 3]",2483,133.62,2.175
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (8, 8), (8, 8)]","[4, 20, 20, 3]",11728,357.63,2.545
