,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(9, 1), (9, 1), (4, 1), (4, 1), (4, 1), (4, 1), (2, 2)]","[9, 43, 16, 4, 4, 4]",6716,12.35,1.593
J_det,0,"[9, 9, 4, 4]","[9, 16, 4]",1649,0.79,2.947
R,0,"[9, 9, 4, 4, 4, 4]","[9, 61, 57, 16, 4]",22850,0.91,3.954
dR,0,"[9, 9, 4, 4, 4, 4, 2]","[9, 65, 111, 30, 8, 2]",48554,0.85,3.954
J_detRT,0,"[(9, 1), (9, 1), (4, 1), (4, 1), (1, 4), (1, 4)]","[9, 73, 61, 16, 4]",27982,0.74,4.039
JdR,0,"[9, 9, 4, 4, 4, 4, 2]","[9, 80, 103, 30, 8, 2]",52909,0.78,4.108
Intg_int,0,"[(12, 12), (12, 12)]",[17],4896,4.24,10.387
Intg_str,0,"[(12, 12), (12, 12), (2, 1)]","[56, 2]",24196,1.71,10.387
H,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (12, 12), (12, 12)]","[3, 3, 3, 3, 3, 129]",74622,284.55,10.388
S,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (12, 12), (12, 12)]","[1, 1, 1, 1, 1, 17]",5426,4007237.73,10.39
F,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (12, 12), (12, 12)]","[1, 1, 1, 1, 1, 17]",5426,4007237.73,10.39
Jx_det_in,0,"[2, 9, 4]","[1, 1]",15,4.8,10.675
Jy_det_in,0,"[2, 9, 4]","[1, 1]",15,4.8,10.675
Rx_in,0,"[2, 9, 4, 4, 4]","[1, 1, 1, 1]",23,50.09,10.675
Ry_in,0,"[2, 9, 4, 4, 4]","[2, 11, 8, 4]",698,1.65,10.675
Ox_in,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,10.675
Oy_in,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,10.675
ORx_in,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",59,19994.03,10.687
ORy_in,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 11, 8, 4]",838,1407.69,10.687
ORJx_det_in,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",59,19994.03,10.698
ORJy_det_in,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 11, 8, 4]",838,1407.69,10.698
Intg_bound_in,0,"[(1, 1), (4, 4), (16, 1), (16, 1), (12, 12), (12, 12)]","[1, 2, 2, 2, 2]",1025,82863.08,12.189
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (1, 1), (1, 1), (12, 12), (12, 12)]","[2, 2, 2, 2, 2, 2]",1032,82301.02,12.191
B_in,0,"[(4, 4), (16, 16), (16, 16), (1, 1), (1, 1), (12, 12), (12, 12)]","[2, 2, 2, 2, 2, 2]",2952,7365607.02,12.191
Jx_det_out,0,"[2, 9, 4]","[1, 4]",54,1.33,12.222
Jy_det_out,0,"[2, 9, 4]","[1, 1]",15,4.8,12.222
Rx_out,0,"[2, 9, 4, 4, 4]","[2, 14, 8, 2]",776,1.48,12.267
Ry_out,0,"[2, 9, 4, 4, 4]","[2, 11, 8, 4]",698,1.65,12.267
Ox_out,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,12.493
Oy_out,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,12.493
ORx_out,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[3, 44, 36, 72, 32, 8, 2]",54484,21.65,12.572
ORy_out,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 11, 8, 4]",838,1407.69,12.572
ORJx_det_out,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[3, 44, 36, 72, 32, 8, 2]",54484,21.65,12.661
ORJy_det_out,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 11, 8, 4]",838,1407.69,12.661
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (12, 12), (12, 12)]","[4, 20, 38, 3]",30304,700.69,13.374
H_bound_out,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (12, 12), (12, 12)]","[4, 20, 38, 38, 38, 3]",33192,639.72,13.377
B_out,0,"[(4, 1), (16, 1), (16, 1), (1, 1), (1, 1), (12, 12), (12, 12)]","[4, 20, 38, 38, 38, 3]",33192,639.72,13.377
H,-1,"[(4, 4), (16, 16), (16, 16), (12, 12), (12, 12)]","[3, 3, 3, 36]",25392,856304.03,13.392
S,-1,"[(4, 4), (16, 16), (16, 16), (12, 12), (12, 12)]","[1, 1, 1, 17]",5424,4008715.33,13.392
F,-1,"[(4, 4), (16, 16), (16, 16), (12, 12), (12, 12)]","[1, 1, 1, 17]",5424,4008715.33,13.392
B_in,-1,"[(4, 4), (16, 16), (16, 16), (12, 12), (12, 12)]","[2, 2, 2, 2]",2944,7385622.26,13.392
B_out,-1,"[(4, 4), (16, 16), (16, 16), (12, 12), (12, 12)]","[4, 20, 38, 3]",231952,93740.39,13.392
