,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(16, 1), (16, 1), (4, 1), (4, 1), (4, 1), (4, 1), (2, 2)]","[1, 1, 1, 1, 1, 1]",52,5041.23,5.018
J_det,0,"[16, 16, 4, 4]","[1, 1, 1]",40,102.4,9.831
R,0,"[16, 16, 4, 4, 4, 4]","[5, 25, 20, 16, 4]",5632,11.64,32.906
dR,0,"[16, 16, 4, 4, 4, 4, 2]","[5, 25, 35, 24, 7, 2]",9672,13.55,32.906
J_detRT,0,"[(16, 1), (16, 1), (4, 1), (4, 1), (1, 4), (1, 4)]","[5, 25, 20, 16, 4]",5632,11.64,32.953
JdR,0,"[16, 16, 4, 4, 4, 4, 2]","[5, 25, 35, 24, 7, 2]",9672,13.55,32.976
Intg_int,0,"[(19, 19), (19, 19)]",[1],722,180.5,82.621
Intg_str,0,"[(19, 19), (19, 19), (2, 1)]","[2, 2]",2170,120.11,82.621
H,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (19, 19), (19, 19)]","[3, 3, 3, 3, 3, 5]",7547,35364.7,82.622
S,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (19, 19), (19, 19)]","[1, 1, 1, 1, 1, 1]",1255,435542543.09,82.623
F,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (19, 19), (19, 19)]","[1, 1, 1, 1, 1, 1]",1255,435542543.09,82.624
Jx_det_in,0,"[2, 16, 4]","[1, 1]",22,5.82,83.088
Jy_det_in,0,"[2, 16, 4]","[1, 1]",22,5.82,83.088
Rx_in,0,"[2, 16, 4, 4, 4]","[1, 1, 1, 1]",30,68.27,83.088
Ry_in,0,"[2, 16, 4, 4, 4]","[1, 1, 1, 1]",30,68.27,83.088
Ox_in,0,"[4, 16, 16, 2, 16, 4]","[1, 1, 1, 1, 1]",58,2259.86,83.088
Oy_in,0,"[4, 16, 16, 2, 16, 4]","[1, 1, 1, 1, 1]",58,2259.86,83.088
ORx_in,0,"[4, 16, 16, 2, 16, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",66,31775.03,83.097
ORy_in,0,"[4, 16, 16, 2, 16, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",66,31775.03,83.097
ORJx_det_in,0,"[4, 16, 16, 2, 16, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",66,31775.03,83.108
ORJy_det_in,0,"[4, 16, 16, 2, 16, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",66,31775.03,83.108
Intg_bound_in,0,"[(1, 1), (4, 4), (16, 1), (16, 1), (19, 19), (19, 19)]","[1, 1, 1, 1, 1]",771,692340.88,85.662
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (2, 2), (1, 1), (19, 19), (19, 19)]","[1, 1, 1, 1, 1, 1]",775,2755070.02,85.663
B_in,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (19, 19), (19, 19)]","[1, 1, 1, 1, 1, 1]",1255,435542543.09,85.663
Jx_det_out,0,"[2, 16, 4]","[1, 1]",22,5.82,85.708
Jy_det_out,0,"[2, 16, 4]","[1, 1]",22,5.82,85.708
Rx_out,0,"[2, 16, 4, 4, 4]","[2, 10, 8, 2]",716,2.86,85.781
Ry_out,0,"[2, 16, 4, 4, 4]","[2, 10, 8, 4]",788,2.6,85.781
Ox_out,0,"[4, 16, 16, 2, 16, 4]","[2, 2, 2, 1, 1]",160,819.2,86.144
Oy_out,0,"[4, 16, 16, 2, 16, 4]","[2, 2, 2, 1, 1]",160,819.2,86.144
ORx_out,0,"[4, 16, 16, 2, 16, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 2]",856,2449.94,86.157
ORy_out,0,"[4, 16, 16, 2, 16, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",928,2259.86,86.157
ORJx_det_out,0,"[4, 16, 16, 2, 16, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 2]",856,2449.94,86.171
ORJy_det_out,0,"[4, 16, 16, 2, 16, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",928,2259.86,86.171
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (19, 19), (19, 19)]","[3, 4, 4, 3]",5875,22714.67,86.453
H_bound_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (19, 19), (19, 19)]","[3, 4, 4, 4, 4, 3]",5923,45061.19,86.455
B_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (19, 19), (19, 19)]","[3, 4, 4, 4, 4, 3]",5923,45061.19,86.455
H,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (19, 19), (19, 19)]","[3, 3, 3, 3, 2]",7580,72111595.2,86.462
S,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (19, 19), (19, 19)]","[1, 1, 1, 1, 1]",1254,435889865.7,86.462
F,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (19, 19), (19, 19)]","[1, 1, 1, 1, 1]",1254,435889865.7,86.462
B_in,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (19, 19), (19, 19)]","[1, 1, 1, 1, 1]",1254,435889865.7,86.462
B_out,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (19, 19), (19, 19)]","[3, 4, 4, 4, 3]",12695,43056785.47,86.462
